loan_id,business_age_years,sector,num_employees,annual_revenue_usd,loan_amount_usd,loan_term_months,interest_rate_pct,credit_score,debt_to_income_ratio,loan_purpose,state,default_flag,default_probability,decision,underwriter_brief
L00001,21,Healthcare,357,4599846.93,466040.52,24,11.99,770,0.259,Equipment,WA,0,0.1737,Approve,"RISK SUMMARY: Approve at 17.4% default probability. Requested loan amount ($466,041) is large for this portfolio.

KEY SIGNALS:
- Requested loan amount ($466,041) is large for this portfolio.
- Loan term (24 months) is longer than the lower-risk cohort.

ANALYST ACTION: Proceed with standard underwriting checks and confirm no new adverse information is present."
L00002,20,Retail,445,1827243.9,14695.89,24,7.13,716,0.63,Refinancing,OH,0,0.5757,Review,"RISK SUMMARY: Review at 57.6% default probability. Debt-to-income ratio (0.63) is high relative to the training portfolio.

KEY SIGNALS:
- Debt-to-income ratio (0.63) is high relative to the training portfolio.
- Sector exposure (Retail) has historically produced higher defaults in this sample.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00003,16,Hospitality,365,4207464.42,249462.76,12,12.13,632,0.261,Real Estate,FL,0,0.5568,Review,"RISK SUMMARY: Review at 55.7% default probability. Loan term (12 months) is longer than the lower-risk cohort.

KEY SIGNALS:
- Loan term (12 months) is longer than the lower-risk cohort.
- Loan purpose (Real Estate) has performed worse than the portfolio average.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00004,6,Agriculture,236,2849969.78,388548.34,48,11.92,577,0.415,Real Estate,NC,0,0.5332,Review,"RISK SUMMARY: Review at 53.3% default probability. Low credit score (577) materially increases default risk.

KEY SIGNALS:
- Low credit score (577) materially increases default risk.
- Business operating history (6 years) is limited.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00005,12,Healthcare,423,3796091.9,382402.02,48,11.88,737,0.156,Equipment,IL,0,0.2077,Approve,"RISK SUMMARY: Approve at 20.8% default probability. Requested loan amount ($382,402) is large for this portfolio.

KEY SIGNALS:
- Requested loan amount ($382,402) is large for this portfolio.
- Employee count (423) is smaller than stronger-performing cohorts.

ANALYST ACTION: Proceed with standard underwriting checks and confirm no new adverse information is present."
L00006,2,Hospitality,136,1775456.04,410197.01,48,16.18,580,0.527,Equipment,FL,1,0.817,Decline,"RISK SUMMARY: Decline at 81.7% default probability. Business operating history (2 years) is limited.

KEY SIGNALS:
- Business operating history (2 years) is limited.
- Low credit score (580) materially increases default risk.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00007,24,Healthcare,354,1785622.66,358269.44,48,6.74,591,0.532,Equipment,CA,1,0.4786,Review,"RISK SUMMARY: Review at 47.9% default probability. Low credit score (591) materially increases default risk.

KEY SIGNALS:
- Low credit score (591) materially increases default risk.
- Debt-to-income ratio (0.53) is high relative to the training portfolio.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00008,19,Technology,274,1441370.84,273996.59,36,17.72,669,0.259,Real Estate,NC,0,0.1042,Approve,"RISK SUMMARY: Approve at 10.4% default probability. Loan purpose (Real Estate) has performed worse than the portfolio average.

KEY SIGNALS:
- Loan purpose (Real Estate) has performed worse than the portfolio average.
- Sector exposure (Technology) has historically produced higher defaults in this sample.

ANALYST ACTION: Proceed with standard underwriting checks and confirm no new adverse information is present."
L00009,22,Agriculture,50,721165.09,377546.13,48,16.9,661,0.577,Equipment,NY,0,0.3714,Approve,"RISK SUMMARY: Approve at 37.1% default probability. Debt-to-income ratio (0.58) is high relative to the training portfolio.

KEY SIGNALS:
- Debt-to-income ratio (0.58) is high relative to the training portfolio.
- State cohort (NY) has a weaker repayment pattern in the training data.

ANALYST ACTION: Proceed with standard underwriting checks and confirm no new adverse information is present."
L00040,18,Technology,495,3863166.91,231439.37,48,8.08,581,0.15,Real Estate,PA,1,0.5743,Review,"RISK SUMMARY: Review at 57.4% default probability. Low credit score (581) materially increases default risk.

KEY SIGNALS:
- Low credit score (581) materially increases default risk.
- Loan purpose (Real Estate) has performed worse than the portfolio average.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00041,11,Manufacturing,48,3570229.12,484516.0,48,11.43,673,0.243,Equipment,CA,0,0.228,Approve,"RISK SUMMARY: Approve at 22.8% default probability. Requested loan amount ($484,516) is large for this portfolio.

KEY SIGNALS:
- Requested loan amount ($484,516) is large for this portfolio.
- Business operating history (11 years) is limited.

ANALYST ACTION: Proceed with standard underwriting checks and confirm no new adverse information is present."
