loan_id,sector,state,loan_amount_usd,credit_score,debt_to_income_ratio,default_probability,decision,underwriter_brief
L00002,Retail,OH,14695.89,716,0.63,0.5757,Review,"RISK SUMMARY: Review at 57.6% default probability. Debt-to-income ratio (0.63) is high relative to the training portfolio.

KEY SIGNALS:
- Debt-to-income ratio (0.63) is high relative to the training portfolio.
- Sector exposure (Retail) has historically produced higher defaults in this sample.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00003,Hospitality,FL,249462.76,632,0.261,0.5568,Review,"RISK SUMMARY: Review at 55.7% default probability. Loan term (12 months) is longer than the lower-risk cohort.

KEY SIGNALS:
- Loan term (12 months) is longer than the lower-risk cohort.
- Loan purpose (Real Estate) has performed worse than the portfolio average.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00004,Agriculture,NC,388548.34,577,0.415,0.5332,Review,"RISK SUMMARY: Review at 53.3% default probability. Low credit score (577) materially increases default risk.

KEY SIGNALS:
- Low credit score (577) materially increases default risk.
- Business operating history (6 years) is limited.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00006,Hospitality,FL,410197.01,580,0.527,0.817,Decline,"RISK SUMMARY: Decline at 81.7% default probability. Business operating history (2 years) is limited.

KEY SIGNALS:
- Business operating history (2 years) is limited.
- Low credit score (580) materially increases default risk.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00007,Healthcare,CA,358269.44,591,0.532,0.4786,Review,"RISK SUMMARY: Review at 47.9% default probability. Low credit score (591) materially increases default risk.

KEY SIGNALS:
- Low credit score (591) materially increases default risk.
- Debt-to-income ratio (0.53) is high relative to the training portfolio.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00040,Technology,PA,231439.37,581,0.15,0.5743,Review,"RISK SUMMARY: Review at 57.4% default probability. Low credit score (581) materially increases default risk.

KEY SIGNALS:
- Low credit score (581) materially increases default risk.
- Loan purpose (Real Estate) has performed worse than the portfolio average.

ANALYST ACTION: Route to analyst review with refreshed cash-flow documents and recent bank statements."
L00045,Hospitality,NY,219065.37,615,0.251,0.6782,Decline,"RISK SUMMARY: Decline at 67.8% default probability. State cohort (NY) has a weaker repayment pattern in the training data.

KEY SIGNALS:
- State cohort (NY) has a weaker repayment pattern in the training data.
- Credit score (615) is below the stronger-performing borrower range.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00049,Manufacturing,PA,131449.96,548,0.52,0.6757,Decline,"RISK SUMMARY: Decline at 67.6% default probability. Low credit score (548) materially increases default risk.

KEY SIGNALS:
- Low credit score (548) materially increases default risk.
- Debt-to-income ratio (0.52) is high relative to the training portfolio.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00050,Technology,PA,424158.24,682,0.543,0.8512,Decline,"RISK SUMMARY: Decline at 85.1% default probability. Debt-to-income ratio (0.54) is high relative to the training portfolio.

KEY SIGNALS:
- Debt-to-income ratio (0.54) is high relative to the training portfolio.
- Loan purpose (Real Estate) has performed worse than the portfolio average.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
L00052,Manufacturing,NY,267959.77,623,0.544,0.9301,Decline,"RISK SUMMARY: Decline at 93.0% default probability. Business operating history (2 years) is limited.

KEY SIGNALS:
- Business operating history (2 years) is limited.
- State cohort (NY) has a weaker repayment pattern in the training data.

ANALYST ACTION: Escalate for senior underwriter review and verify bank statements before issuing a final decline."
